ID,Data,Produto,Categoria,Quantidade,Preco
1,2023-08-13,Mouse Óptico,Eletrônicos,1,117.15
2,2023-10-12,Jogo De Tabuleiro,Brinquedos,4,101.00
3,2023-09-27,Camiseta Básica,Moda,5,37.33
4,2023-02-19,Camiseta Dry,Esporte,4,174.76
6,2023-07-15,Caderno,Material-Escolar,4,296.87
7,2023-04-28,Mouse Óptico,Eletrônicos,2,155.04
8,2023-07-07,Boneca Classic,Brinquedos,5,50.17
9,2023-12-19,Panela Antiaderente,Casa & Cozinha,4,368.62
10,2023-11-10,Fone Pro,Eletrônicos,2,613.15
11,2023-11-01,Tênis Casual,Moda,5,63.54
12,2023-06-18,Mochila,Material-Escolar,6,100.66
13,2023-10-14,Quebra-Cabeça 500Pç,Brinquedos,8,80.10
14,2023-05-21,Carrinho Rc,Brinquedos,5,94.75
15,2023-09-08,Carrinho Rc,Brinquedos,3,52.61
16,2023-08-22,Blocos Criativos,Brinquedos,3,75.83
17,2023-04-02,Tênis Casual,Moda,5,40.48
18,2023-04-08,Smartwatch,Eletrônicos,4,325.34
19,2023-01-23,Estojo,Material-Escolar,3,112.71
20,2023-02-21,Mochila Fitness,Esporte,7,127.91
22,2023-06-24,Bola Oficial,Esporte,3,196.72
23,2023-03-02,Jogo De Facas,Casa & Cozinha,7,179.99
24,2023-06-02,Estojo,Material-Escolar,3,62.60
25,2023-08-09,Jogo De Tabuleiro,Brinquedos,4,67.60
26,2023-03-26,Calça Jeans,Moda,3,42.50
27,2023-05-04,Tênis Running,Esporte,3,71.86
28,2023-05-15,Quebra-Cabeça 500Pç,Brinquedos,3,69.06
29,2023-07-04,Camiseta Básica,Moda,6,166.34
30,2023-05-14,Garrafa Térmica,Esporte,2,87.16
31,2023-09-26,Garrafa Térmica,Esporte,6,165.27
32,2023-04-30,Panela Antiaderente,Casa & Cozinha,6,114.60
33,2023-06-08,Mouse Óptico,Eletrônicos,3,301.98
34,2023-05-19,Boné Snapback,Moda,5,83.86
35,2023-03-08,Caneta,Material-Escolar,1,81.04
36,2023-09-08,Caixa Bluetooth,Eletrônicos,5,338.99
38,2023-04-19,Carrinho Rc,Brinquedos,7,34.91
39,2023-10-17,Panela Antiaderente,Casa & Cozinha,7,114.97
40,2023-12-13,Boné Snapback,Moda,4,48.20
41,2023-09-02,Smartwatch,Eletrônicos,1,383.72
42,2023-12-01,Carrinho Rc,Brinquedos,8,60.50
43,2023-11-08,Blocos Criativos,Brinquedos,5,92.23
44,2023-06-25,Garrafa Térmica,Esporte,2,50.33
45,2023-10-09,Caixa Bluetooth,Eletrônicos,5,338.99
46,2023-04-30,Lapis,Material-Escolar,3,51.20
47,2023-06-18,Camiseta Dry,Esporte,4,114.29
48,2023-07-15,Estojo,Material-Escolar,3,96.59
49,2023-12-17,Quebra-Cabeça 500Pç,Brinquedos,6,19.82
50,2023-11-06,Quebra-Cabeça 500Pç,Brinquedos,5,69.06
